max_number_of_vehicles,minimum_speed,min_number_of_vehicles,average_speed,avg_number_of_vehicles,maximum_speed,date,average_felt_temperature,average_road_temperature,minimum_felt_temperature,minimum_precipitation,maximum_humidity,maximum_felt_temperature,maximum_precipitation,maximum_temperature,average_humidity,average_wind,average_directionofwind,minimum_temperature,average_temperature,maximum_road_temperature,minimum_humidity,minimum_directionofwind,minimum_wind,maximum_directionofwind,minimum_road_temperature,maximum_wind,average_precipitation
298,6,11,56.59,58.72,193,2020-01-01 00:00:00,4.0,3.79,-4.22,0.0,100.0,8.76,60.0,8.4,87.58,1.48,229.33,-0.55,4.4,8.0,59.52,0.0,0.0,355.0,-13.2,6.41,1.18
272,6,11,57.41,53.68,188,2020-01-01 01:00:00,3.95,3.34,-3.75,0.0,100.0,9.13,60.0,8.15,84.65,1.51,240.89,-0.41,4.36,7.4,57.21,1.0,0.0,354.0,-37.1,6.0,0.23
223,3,11,59.7,44.72,197,2020-01-01 02:00:00,4.11,4.08,-1.24,0.0,100.0,8.87,60.0,7.69,79.1,1.37,237.46,1.15,4.38,7.2,52.1,0.0,0.0,355.0,1.8,5.39,0.93
166,6,11,61.05,37.51,191,2020-01-01 03:00:00,4.26,4.23,0.39,0.0,100.0,8.95,60.0,7.08,77.53,1.18,223.58,2.12,4.36,6.6,54.88,0.0,0.0,355.0,2.7,5.01,0.62
113,6,11,62.44,32.87,207,2020-01-01 04:00:00,4.92,4.56,0.58,0.0,100.0,9.31,0.52,6.93,80.8,0.88,207.85,2.34,4.65,6.7,56.46,0.0,0.0,355.0,2.9,3.97,0.02
192,6,11,59.21,42.12,214,2020-01-01 05:00:00,4.86,4.56,0.85,0.0,100.0,9.82,60.0,7.29,86.97,1.02,192.0,2.3,4.73,6.9,64.67,0.0,0.0,359.0,3.0,5.55,0.58
294,6,11,61.25,46.4,180,2020-01-01 06:00:00,4.87,4.69,1.46,0.0,100.0,8.91,60.0,7.44,92.78,1.11,160.82,2.71,4.8,7.0,71.85,0.0,0.0,356.0,3.1,8.47,1.2
358,6,11,60.97,55.97,177,2020-01-01 07:00:00,5.24,5.12,1.85,0.0,100.0,9.21,60.0,7.43,93.5,1.36,172.31,3.21,5.25,7.0,68.54,0.0,0.0,355.0,3.6,9.65,0.5
269,6,11,59.02,53.59,190,2020-01-01 08:00:00,5.66,5.79,1.83,0.0,100.0,9.31,0.71,8.34,90.9,1.84,174.95,3.86,5.92,7.6,65.51,0.0,0.0,358.0,4.4,9.52,0.08
281,6,11,58.86,52.47,189,2020-01-01 09:00:00,5.96,6.6,2.67,0.0,100.0,9.55,60.0,8.95,85.94,2.46,170.87,4.5,6.62,10.4,62.83,1.0,0.0,359.0,4.9,9.56,1.19
