max_number_of_vehicles,MINIMUM_SPEED,min_number_of_vehicles,AVERAGE_SPEED,avg_number_of_vehicles,MAXIMUM_SPEED,DATE
539,1,11,58.03,67.08,219,2020-01-01
1134,1,11,54.22,108.61,217,2020-01-02
1009,1,11,55.14,103.68,222,2020-01-03
1051,1,11,56.74,95.52,223,2020-01-04
540,1,11,57.57,69.30,210,2020-01-05
1146,1,11,51.34,101.12,177,2020-01-06
1002,1,11,51.09,91.27,200,2020-01-07
823,1,11,53.01,79.35,207,2020-01-08
878,1,11,54.26,88.53,212,2020-01-09
953,1,11,54.44,97.35,215,2020-01-10
1045,1,11,55.64,92.42,220,2020-01-11
511,0,11,58.11,68.98,214,2020-01-12
918,1,11,55.26,90.96,218,2020-01-13
896,1,11,54.85,92.65,217,2020-01-14
994,1,11,55.15,104.72,216,2020-01-15
979,1,11,55.22,101.51,205,2020-01-16
1011,1,11,53.96,100.87,215,2020-01-17
891,1,11,55.14,88.34,213,2020-01-18
550,1,11,57.41,69.56,217,2020-01-19
942,1,11,54.08,100.53,209,2020-01-20
1135,1,11,55.17,106.16,212,2020-01-21
1210,1,11,55.07,111.41,219,2020-01-22
1119,1,11,55.16,107.87,209,2020-01-23
1088,1,11,55.34,111.85,235,2020-01-24
1047,1,11,55.71,91.16,221,2020-01-25
537,1,11,58.15,69.70,227,2020-01-26
1137,1,11,55.66,113.43,214,2020-01-27
1195,1,11,54.56,116.55,205,2020-01-28
1169,1,11,54.32,109.15,232,2020-01-29
1187,1,11,54.67,113.14,230,2020-01-30
1216,1,11,54.82,105.40,221,2020-01-31
1091,1,11,55.76,94.45,214,2020-02-01
533,1,11,57.97,74.08,249,2020-02-02
1086,1,11,55.35,109.42,216,2020-02-03
1174,1,11,54.95,109.77,252,2020-02-04
1161,1,11,53.56,108.62,208,2020-02-05
1050,1,11,54.21,104.26,206,2020-02-06
1076,1,11,54.66,108.89,234,2020-02-07
1007,1,11,54.80,95.67,194,2020-02-08
523,1,11,58.48,69.79,235,2020-02-09
901,1,11,54.99,98.98,244,2020-02-10
1060,1,11,54.53,104.60,221,2020-02-11
1038,1,11,54.43,102.50,211,2020-02-12
1008,1,11,55.16,101.44,240,2020-02-13
1030,1,11,54.63,96.57,250,2020-02-14
1058,1,11,55.45,97.32,236,2020-02-15
547,1,11,58.03,69.05,239,2020-02-16
922,1,11,55.23,96.65,240,2020-02-17
859,1,11,54.47,70.51,230,2020-02-18
737,1,11,54.43,72.96,218,2020-02-19
1045,1,11,54.05,95.70,212,2020-02-20
976,1,11,52.50,103.78,202,2020-02-21
945,1,11,55.80,90.28,216,2020-02-22
503,1,11,58.17,70.67,235,2020-02-23
1025,1,11,55.19,91.44,238,2020-02-24
943,1,11,55.23,97.73,235,2020-02-25
943,1,11,54.77,98.73,235,2020-02-26
1017,1,11,54.06,103.93,220,2020-02-27
1024,1,11,55.06,106.19,217,2020-02-28
983,2,11,54.96,95.26,218,2020-02-29
492,1,11,58.22,71.82,235,2020-03-01
1009,1,11,55.25,93.91,219,2020-03-02
1161,0,11,54.84,96.73,217,2020-03-03
1000,1,11,55.00,96.39,219,2020-03-04
1013,1,11,54.40,95.95,229,2020-03-05
1055,1,11,54.21,92.20,212,2020-03-06
986,1,11,55.46,87.47,216,2020-03-07
474,0,11,57.60,65.00,255,2020-03-08
897,1,11,55.15,85.22,227,2020-03-09
946,1,11,53.39,85.91,209,2020-03-10
1059,1,11,54.84,90.08,227,2020-03-11
1285,1,11,55.25,99.38,223,2020-03-12
1027,1,11,55.30,102.21,235,2020-03-13
1026,1,11,56.61,90.53,223,2020-03-14
486,1,11,57.93,65.53,218,2020-03-15
1084,2,11,56.60,102.75,222,2020-03-16
1118,1,11,57.25,102.48,219,2020-03-17
1136,1,11,57.21,104.44,236,2020-03-18
1174,1,11,57.88,100.66,217,2020-03-19
1083,1,11,58.39,99.38,218,2020-03-20
847,2,11,59.00,75.20,217,2020-03-21
364,1,11,60.67,48.56,247,2020-03-22
1046,1,11,57.89,90.99,239,2020-03-23
988,4,11,57.62,91.16,204,2020-03-24
966,1,11,58.00,91.88,200,2020-03-25
962,1,11,58.82,90.16,219,2020-03-26
1041,1,11,58.85,89.06,204,2020-03-27
732,2,11,59.13,66.41,223,2020-03-28
315,2,11,58.73,40.02,200,2020-03-29
920,1,11,58.22,84.13,248,2020-03-30
846,1,11,58.26,81.71,235,2020-03-31
830,1,11,58.66,81.04,225,2020-04-01
769,2,11,58.18,76.50,223,2020-04-02
816,2,11,59.17,79.71,212,2020-04-03
685,2,11,58.44,61.45,209,2020-04-04
321,2,11,57.79,37.14,207,2020-04-05
967,1,11,57.64,81.23,209,2020-04-06
845,3,11,58.32,81.71,225,2020-04-07
838,2,11,58.82,81.00,204,2020-04-08
993,1,11,59.18,78.45,219,2020-04-09
1023,2,11,58.78,86.86,248,2020-04-10
313,2,11,62.51,33.92,219,2020-04-11
273,3,11,63.23,27.35,208,2020-04-12
939,1,11,58.41,81.57,248,2020-04-13
869,1,11,58.74,81.07,216,2020-04-14
1019,2,11,57.49,89.57,217,2020-04-15
969,1,11,58.45,86.75,248,2020-04-16
1069,1,11,58.54,83.75,219,2020-04-17
313,2,11,62.21,35.31,208,2020-04-18
247,2,11,62.98,30.32,203,2020-04-19
997,1,11,58.25,87.51,213,2020-04-20
937,1,11,57.43,79.16,235,2020-04-21
1004,1,11,57.91,81.58,210,2020-04-22
399,5,11,60.61,44.12,223,2020-04-23
487,3,11,61.17,49.06,219,2020-04-24
379,5,11,61.83,38.31,210,2020-04-25
279,2,11,62.64,30.58,204,2020-04-26
1019,1,11,57.74,86.71,219,2020-04-27
1058,1,11,58.24,85.09,248,2020-04-28
1009,1,11,58.03,85.13,216,2020-04-29
979,1,11,57.68,86.52,214,2020-04-30
400,2,11,61.00,42.70,228,2020-05-01
390,3,11,60.77,39.44,230,2020-05-02
270,5,11,61.25,31.76,248,2020-05-03
1099,1,11,56.02,90.31,207,2020-05-04
1057,1,11,57.85,89.95,208,2020-05-05
1072,1,11,57.55,88.18,227,2020-05-06
994,1,11,57.30,86.29,226,2020-05-07
1064,1,11,57.58,90.06,210,2020-05-08
487,2,11,61.46,43.63,236,2020-05-09
263,1,11,61.68,32.72,207,2020-05-10
1007,1,11,57.28,89.99,249,2020-05-11
1004,1,11,57.38,88.41,234,2020-05-12
1024,2,11,57.10,88.78,237,2020-05-13
1113,2,11,57.41,92.81,226,2020-05-14
1085,1,11,56.60,94.08,220,2020-05-15
423,2,11,61.21,46.92,226,2020-05-16
266,3,11,61.80,33.87,221,2020-05-17
633,1,11,60.21,58.59,219,2020-05-18
484,3,11,60.16,49.50,212,2020-05-19
1143,1,11,56.07,95.29,243,2020-05-20
1227,1,11,55.55,102.23,249,2020-05-21
1265,1,11,55.93,105.01,219,2020-05-22
412,4,11,60.45,48.80,245,2020-05-23
220,1,11,61.87,26.59,247,2020-05-24
261,2,11,61.49,31.94,233,2020-05-25
287,2,11,61.47,37.02,235,2020-05-26
1221,2,11,56.37,102.07,249,2020-05-27
1293,2,11,56.80,97.91,214,2020-05-28
1229,1,11,56.50,101.28,227,2020-05-29
573,1,11,60.52,56.97,216,2020-05-30
287,0,11,63.01,36.15,219,2020-05-31
1247,1,11,56.15,92.21,215,2020-06-01
1115,1,11,58.49,94.74,221,2020-06-02
1223,1,11,56.67,96.43,218,2020-06-03
1227,1,11,56.90,102.37,234,2020-06-04
1314,1,11,55.86,102.34,218,2020-06-05
973,2,11,58.32,84.96,235,2020-06-06
470,2,11,60.86,52.17,230,2020-06-07
1137,1,11,57.46,98.94,247,2020-06-08
1193,1,11,56.99,98.76,227,2020-06-09
1226,1,11,56.54,102.33,250,2020-06-10
1159,1,11,56.72,95.13,231,2020-06-11
1297,1,11,56.36,100.25,239,2020-06-12
994,1,11,57.47,86.37,232,2020-06-13
463,3,11,59.16,57.53,230,2020-06-14
1103,0,11,56.47,97.22,213,2020-06-15
1163,1,11,56.43,96.63,254,2020-06-16
1194,1,11,56.30,93.51,232,2020-06-17
1119,1,11,56.35,93.24,245,2020-06-18
1226,1,11,55.41,99.65,214,2020-06-19
839,1,11,58.40,76.22,242,2020-06-20
481,2,11,59.15,60.15,245,2020-06-21
1038,1,11,56.71,94.71,227,2020-06-22
1135,1,11,56.20,98.45,214,2020-06-23
1186,1,11,56.70,102.36,228,2020-06-24
1152,1,11,56.33,104.69,233,2020-06-25
1117,0,11,55.57,102.57,245,2020-06-26
756,1,11,58.22,76.59,226,2020-06-27
398,3,11,59.60,52.85,218,2020-06-28
1159,1,11,56.34,101.80,218,2020-06-29
1140,1,11,56.14,101.83,225,2020-06-30
1155,1,11,55.87,96.89,218,2020-07-01
1204,0,11,56.08,102.51,210,2020-07-02
1213,1,11,56.16,108.80,223,2020-07-03
1065,1,11,57.01,91.75,250,2020-07-04
475,0,11,58.82,63.35,219,2020-07-05
1160,1,11,56.72,105.02,242,2020-07-06
1174,1,11,56.11,102.71,229,2020-07-07
1237,1,11,56.19,105.29,219,2020-07-08
1262,1,11,56.33,100.75,249,2020-07-09
1201,1,11,56.06,103.63,223,2020-07-10
973,1,11,57.04,89.13,218,2020-07-11
471,1,11,59.00,63.79,242,2020-07-12
1195,1,11,56.38,101.59,229,2020-07-13
1236,1,11,56.29,101.70,220,2020-07-14
885,1,11,57.79,80.96,221,2020-07-15
1072,1,11,56.48,84.68,219,2020-07-16
1125,1,11,56.37,101.61,246,2020-07-17
1006,1,11,56.95,92.23,210,2020-07-18
492,2,11,58.97,62.79,227,2020-07-19
1148,1,11,56.64,94.17,227,2020-07-20
1123,1,11,56.32,97.54,227,2020-07-21
1164,1,11,56.24,101.01,234,2020-07-22
1060,1,11,56.12,95.25,227,2020-07-23
1062,1,11,56.26,97.92,220,2020-07-24
1016,1,11,57.30,90.92,225,2020-07-25
501,0,11,59.30,66.51,239,2020-07-26
