max_number_of_vehicles,MINIMUM_SPEED,min_number_of_vehicles,AVERAGE_SPEED,avg_number_of_vehicles,MAXIMUM_SPEED,DATE
298,6,11,56.59,58.72,193,2020-01-01T00:00:00
272,6,11,57.41,53.68,188,2020-01-01T01:00:00
223,3,11,59.70,44.72,197,2020-01-01T02:00:00
166,6,11,61.05,37.51,191,2020-01-01T03:00:00
113,6,11,62.44,32.87,207,2020-01-01T04:00:00
192,6,11,59.21,42.12,214,2020-01-01T05:00:00
294,6,11,61.25,46.40,180,2020-01-01T06:00:00
358,6,11,60.97,55.97,177,2020-01-01T07:00:00
269,6,11,59.02,53.59,190,2020-01-01T08:00:00
281,6,11,58.86,52.47,189,2020-01-01T09:00:00
288,3,11,58.94,54.37,192,2020-01-01T10:00:00
329,6,11,58.27,60.57,182,2020-01-01T11:00:00
425,5,11,58.49,69.43,204,2020-01-01T12:00:00
510,1,11,57.32,80.00,192,2020-01-01T13:00:00
520,1,11,56.76,83.31,209,2020-01-01T14:00:00
539,2,11,56.25,89.31,188,2020-01-01T15:00:00
521,1,11,56.09,87.95,197,2020-01-01T16:00:00
524,3,11,56.94,86.70,219,2020-01-01T17:00:00
467,3,11,55.95,85.31,190,2020-01-01T18:00:00
452,6,11,56.58,80.40,218,2020-01-01T19:00:00
387,6,11,57.41,76.37,190,2020-01-01T20:00:00
458,2,11,56.71,75.53,169,2020-01-01T21:00:00
406,6,11,57.88,70.82,180,2020-01-01T22:00:00
371,6,11,58.74,66.04,176,2020-01-01T23:00:00
274,6,11,59.74,55.30,186,2020-01-02T00:00:00
187,6,11,61.41,41.50,174,2020-01-02T01:00:00
129,6,11,65.67,34.83,183,2020-01-02T02:00:00
108,6,11,66.51,30.74,163,2020-01-02T03:00:00
143,6,11,66.64,34.44,176,2020-01-02T04:00:00
325,6,11,58.55,63.70,169,2020-01-02T05:00:00
996,3,11,55.68,151.10,175,2020-01-02T06:00:00
948,6,11,52.31,158.70,186,2020-01-02T07:00:00
861,6,11,50.86,135.07,180,2020-01-02T08:00:00
1017,6,11,53.19,141.73,214,2020-01-02T09:00:00
1046,1,11,53.71,130.90,188,2020-01-02T10:00:00
1089,1,11,53.24,129.96,185,2020-01-02T11:00:00
1134,2,11,52.57,127.38,207,2020-01-02T12:00:00
974,1,11,51.87,119.45,217,2020-01-02T13:00:00
960,2,11,51.77,121.46,173,2020-01-02T14:00:00
1018,2,11,51.25,125.21,201,2020-01-02T15:00:00
711,2,11,49.96,105.67,184,2020-01-02T16:00:00
688,6,11,49.06,98.77,186,2020-01-02T17:00:00
815,6,11,47.83,127.67,190,2020-01-02T18:00:00
881,3,11,49.48,133.92,175,2020-01-02T19:00:00
697,5,11,53.62,117.85,185,2020-01-02T20:00:00
659,5,11,55.02,99.93,174,2020-01-02T21:00:00
451,4,11,56.33,82.35,196,2020-01-02T22:00:00
