,AVERAGE_FELT_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,DATE,MINIMUM_PRECIPITATION,MAXIMUM_HUMIDITY,MAXIMUM_FELT_TEMPERATURE,MAXIMUM_PRECIPITATION,MAXIMUM_TEMPERATURE,AVERAGE_HUMIDITY,AVERAGE_WIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,MINIMUM_HUMIDITY,MINIMUM_DIRECTIONOFWIND,MINIMUM_WIND,MAXIMUM_DIRECTIONOFWIND,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_WIND,AVERAGE_PRECIPITATION
0,4.59,5.45,-4.22,2020-01-01,0.0,100.0,12.57,60.0,11.51,78.29,2.83,181.6,-0.55,5.69,13.9,51.39,0.0,0.0,360.0,-37.1,14.19,1.54
1,3.67,5.04,-2.54,2020-01-02,0.0,100.0,11.34,133.3,9.78,89.7,3.07,118.59,1.03,5.07,13.5,62.12,0.0,0.0,360.0,0.5,18.51,1.54
2,5.22,6.17,-1.05,2020-01-03,0.0,100.0,12.83,133.3,11.05,83.64,1.54,149.68,1.11,5.46,16.4,51.61,0.0,0.0,360.0,0.7,10.15,1.51
3,6.32,7.18,-1.54,2020-01-04,0.0,100.0,15.32,133.3,13.77,72.02,1.54,211.19,-0.9,6.47,19.5,25.07,0.0,0.0,355.0,0.6,7.49,1.72
4,5.26,6.32,-2.87,2020-01-05,0.0,100.0,13.99,61.0,10.79,88.35,2.08,148.14,-0.94,5.8,12.4,52.4,0.0,0.0,360.0,0.7,16.85,1.47
5,3.60,6.36,-2.12,2020-01-06,0.0,100.0,10.2,133.3,8.51,93.53,6.24,113.61,3.05,6.26,10.1,74.78,0.0,0.0,360.0,4.1,24.77,1.41
6,1.83,5.58,-3.60,2020-01-07,0.0,100.0,8.67,133.3,7.42,94.25,5.92,154.59,2.19,4.84,10.0,79.71,0.0,0.0,360.0,2.5,22.42,1.03
7,2.12,4.96,-4.13,2020-01-08,0.0,100.0,8.74,133.3,7.36,86.86,3.89,159.31,0.85,4.23,10.0,51.59,0.0,0.0,360.0,-0.1,15.85,1.36
8,3.75,5.30,-2.62,2020-01-09,0.0,100.0,10.74,110.2,8.81,87.9,1.9,147.38,0.42,4.41,12.7,61.86,0.0,0.0,360.0,0.2,10.8,1.24
9,5.44,6.21,-3.69,2020-01-10,0.0,100.0,16.4,133.3,14.51,82.68,1.1,171.32,-1.55,5.35,19.4,32.46,0.0,0.0,359.0,-1.3,5.53,1.95
